dia_de_semana,hora,linea,estacion,trx_promedio
False,0,A,ALBERTI,3.0
False,0,A,CASTRO BARROS,1.0
False,0,A,CONGRESO,1.4
False,0,A,FLORES,1.0
False,0,A,LIMA,1.0
False,0,A,LORIA,1.0
False,0,A,PLAZA MISERERE,1.3333333333333333
False,0,A,PRIMERA JUNTA,1.3333333333333333
False,0,A,PUAN,1.0
False,0,A,SAN PEDRITO,1.0
False,0,B,ANGEL GALLARDO,1.0
False,0,B,CARLOS GARDEL,1.0
False,0,B,CARLOS PELLEGRINI,1.6666666666666667
False,0,B,DORREGO,1.0
False,0,B,FEDERICO LACROZE,1.0
False,0,B,MALABIA,1.0
False,0,B,PASTEUR,1.0
False,0,B,ROSAS,1.0
False,0,B,TRONADOR,3.0
False,0,C,CONSTITUCION,1.0
False,0,C,DIAGONAL NORTE,1.5
False,0,C,INDEPENDENCIA,1.0
False,0,D,BULNES,1.0
False,0,D,CONGRESO DE TUCUMAN,1.1666666666666667
False,0,D,JOSE HERNANDEZ,1.0
False,0,D,MINISTRO CARRANZA,1.0
False,0,D,OLLEROS,1.0
False,0,D,PLAZA ITALIA,1.0
False,0,D,SCALABRINI ORTIZ,1.6666666666666667
False,0,D,TRIBUNALES,1.0
False,0,E,AVENIDA LA PLATA,1.1
False,0,E,BOEDO,1.0
False,0,E,BOLIVAR,1.0
False,0,E,CATALINAS,1.5
False,0,E,CORREO CENTRAL,2.0
False,0,E,ENTRE RIOS,1.0
False,0,E,GENERAL BELGRANO,1.0
False,0,E,JUJUY,1.4
False,0,E,PICHINCHA,1.0
False,0,E,PZA. DE LOS VIRREYES,1.0
False,0,E,RETIRO E,1.0
False,0,E,URQUIZA,1.0
False,0,E,VARELA,1.0
False,0,H,CORDOBA,1.25
False,0,H,CORRIENTES,1.1666666666666667
False,0,H,HOSPITALES,1.5
False,0,H,HUMBERTO I,2.0
False,0,H,INCLAN,1.0
False,0,H,LAS HERAS,1.0
False,0,H,ONCE,1.0
False,0,H,PATRICIOS,1.3333333333333333
False,0,H,SANTA FE,1.0
False,0,H,VENEZUELA,1.0
False,1,A,CARABOBO,1.0
False,1,A,PLAZA MISERERE,1.0
False,1,B,FEDERICO LACROZE,1.25
False,1,D,AGÃÂÃÂ¼ERO,1.0
False,1,D,CONGRESO DE TUCUMAN,1.1428571428571428
False,1,E,AVENIDA LA PLATA,1.0
False,1,E,RETIRO E,1.0
False,2,A,ACOYTE,1.0
False,2,A,PERU,1.4
False,2,A,PIEDRAS,1.25
False,2,A,PLAZA DE MAYO,1.0
False,2,B,FEDERICO LACROZE,1.0
False,2,B,LEANDRO N. ALEM,1.0
False,2,B,PUEYRREDON,1.0
False,2,B,ROSAS,1.0
False,2,C,MARIANO MORENO,1.0
False,2,D,CATEDRAL,1.0
False,2,D,CONGRESO DE TUCUMAN,1.0
False,2,D,MINISTRO CARRANZA,1.0
False,2,D,PUEYRREDON.D,1.0
False,2,E,CORREO CENTRAL,1.0
False,2,E,RETIRO E,1.0
False,3,A,LIMA,1.8
False,3,A,PIEDRAS,1.0
False,3,A,RIO DE JANEIRO,1.0
False,3,A,SAENZ PEÃÂÃÂ±A ,1.0
False,3,B,FEDERICO LACROZE,1.0
False,3,D,CONGRESO DE TUCUMAN,1.0
False,3,E,RETIRO E,1.0
False,4,A,ACOYTE,1.0
False,4,A,ALBERTI,2.6666666666666665
False,4,A,CONGRESO,1.4
False,4,A,PASCO,1.0
False,4,A,PLAZA MISERERE,1.1666666666666667
False,4,B,PUEYRREDON,1.0
False,4,C,SAN JUAN,1.0
False,4,D,CONGRESO DE TUCUMAN,1.0
False,4,D,MINISTRO CARRANZA,1.0
False,4,E,AVENIDA LA PLATA,1.0
False,4,E,CATALINAS,1.0
False,4,E,JOSE MARIA MORENO,1.0
False,4,E,RETIRO E,1.0
False,5,A,ACOYTE,1.6666666666666667
False,5,A,ALBERTI,2.25
False,5,A,CARABOBO,1.2666666666666666
False,5,A,CASTRO BARROS,1.1666666666666667
False,5,A,CONGRESO,2.6923076923076925
False,5,A,FLORES,1.8
False,5,A,LIMA,2.1666666666666665
False,5,A,LORIA,1.7142857142857142
False,5,A,PERU,1.9333333333333333
False,5,A,PIEDRAS,3.3333333333333335
False,5,A,PLAZA DE MAYO,2.2777777777777777
False,5,A,PLAZA MISERERE,2.210526315789474
False,5,A,PRIMERA JUNTA,2.357142857142857
False,5,A,PUAN,1.8333333333333333
False,5,A,RIO DE JANEIRO,1.9
False,5,A,SAENZ PEÃÂÃÂ±A ,1.0
False,5,A,SAN PEDRITO,2.9545454545454546
False,5,B,ANGEL GALLARDO,1.6666666666666667
False,5,B,CALLAO.B,2.769230769230769
False,5,B,CARLOS GARDEL,2.8181818181818183
False,5,B,CARLOS PELLEGRINI,5.235294117647059
False,5,B,DORREGO,2.0
False,5,B,ECHEVERRIA,1.0
False,5,B,FEDERICO LACROZE,4.488888888888889
False,5,B,FLORIDA,1.0
False,5,B,LEANDRO N. ALEM,5.7
False,5,B,LOS INCAS,1.75
False,5,B,MALABIA,1.1
False,5,B,MEDRANO,8.428571428571429
False,5,B,PASTEUR,1.4
False,5,B,PUEYRREDON,1.7692307692307692
False,5,B,ROSAS,3.026315789473684
False,5,B,TRONADOR,1.5
False,5,B,URUGUAY,1.5
False,5,C,AVENIDA DE MAYO,1.25
False,5,C,CONSTITUCION,10.685185185185185
False,5,C,DIAGONAL NORTE,1.25
False,5,C,GENERAL SAN MARTIN,1.5384615384615385
False,5,C,INDEPENDENCIA,4.333333333333333
False,5,C,LAVALLE,3.4444444444444446
